Name,Ticker,Sub-Sector
Milton Industries Ltd,MILTON,Wood Products
Rudra Gas Enterprise Ltd,RUDRAGAS,Gas Distribution
Siddhi Cotspin Ltd,SIDDHICOTS,Textiles
Swarnsarita Jewels India Ltd,SWARNSAR,"Precious Metals, Jewellery & Watches"
ICICI Prudential BSE Sensex ETF,SENSEXIETF,Equity
Jetking Infotrain Ltd,JETKINGQ,Education Services
iSERA Lifesciences Ltd,COVIDH,Software Services
Orchasp Ltd,ORCHASP,IT Services & Consulting
Refractory Shapes Ltd,REFRACTORY,Construction & Engineering
Vishal Bearings Ltd,VISHALBL,Industrial Machinery
Mangal Compusolution Ltd,MANGALCOMP,IT Services & Consulting
BN Rathi Securities Ltd,BNRSEC,Investment Banking & Brokerage
Apoorva Leasing Finance and Investment Company Ltd,APOORVA,Specialized Finance
Mysore Petro Chemicals Ltd,MYSORPETRO,Commodity Chemicals
Transwarranty Finance Ltd,TFL,Diversified Financials
Delta Manufacturing Ltd,DELTAMAGNT,Industrial Machinery
Sky Industries Ltd,SKYIND,Textiles
Newjaisa Technologies Ltd,NEWJAISA,Technology Hardware
Filtra Consultants and Engineers Ltd,FILTRA,Environmental Services
G.S. Auto International Ltd,GSAUTO,Auto Parts
Dhansa Labs Ltd,DHANSA,
Securekloud Technologies Ltd,SECURKLOUD,Software Services
Kkalpana Industries (India) Ltd,KKALPANAIND,Specialty Chemicals
Vineet Laboratories Ltd,VINEETLAB,Specialty Chemicals
Mohini Health & Hygiene Ltd,MHHL,Health Care Equipment & Supplies
Teesta Agro Industries Ltd,TEEAI,Fertilizers & Agro Chemicals
Softrak Venture Investment Ltd,SOFTRAKV,Packaged Foods & Meats
HB Portfolio Ltd,HBPOR,Diversified Financials
Surbhi Industries Ltd,SURBHIN,Textiles
Omfurn India Ltd,OMFURN,Home Furnishing
ODigMa Consultancy Solutions Ltd,ODIGMA,Advertising
Paras Petrofils Ltd,PARASPETRO,Textiles
Dutron Polymers Ltd,DUTRON,Building Products - Pipes
Hind Aluminium Industries Ltd,HINDALUMI,Metals - Aluminium
Steelman Telecom Ltd,STML,Telecom Services
Telogica Ltd,TELOGICA,Communication & Networking
AJR Infra & Tolling Ltd,AJRINFRA,Construction & Engineering
Skyline Millars Ltd,SKYLMILAR,Real Estate
Yash Innoventures Ltd,YASHINNO,Construction & Engineering
Shubham Polyspin Ltd,SHUBHAM,Textiles
Everlon Financials Ltd,EVERFIN,Specialized Finance
Genpharmasec Ltd,GENPHARMA,Commodities Trading
JFL Life Sciences Ltd,JFLLIFE,Pharmaceuticals
Bombay Cycle and Motor Agency Ltd,BOMBCYC,Conglomerates
Ansal Buildwell Ltd,ANSALBU,Real Estate
Conart Engineers Ltd,CONART,Construction & Engineering
Anmol India Ltd,ANMOL,Commodities Trading
Kemistar Corporation Ltd,KEMISTAR,Commodity Chemicals
Sundaram Multi Pap Ltd,SUNDARAM,Paper Products
Samay Project Services Ltd,SAMAY,Construction & Engineering
Atlas Cycles (Haryana) Ltd,ATLASCYCLE,Cycles
Agri-Tech (India) Ltd,AGRITECH,Agro Products
Sunil Healthcare Ltd,SUNLOC,Pharmaceuticals
SPA Capital Advisors Ltd,SPACAPS,Diversified Financials
Royal Sense Ltd,ROYAL,Health Care Equipment & Supplies
Marco Cables & Conductors Ltd,MARCO,Cables
K2 Infragen Ltd,K2INFRA,Construction & Engineering
Sangani Hospitals Ltd,SANGANI,Hospitals & Diagnostic Centres
Samrat Pharmachem Ltd,SAMRATPH,Commodity Chemicals
Winsome Breweries Ltd,WINSOMBR,Alcoholic Beverages
Ceeta Industries Ltd,CEETAIN,FMCG - Foods
Future Consumer Ltd,FCONSUMER,FMCG - Foods
AVSL Industries Ltd,AVSL,Specialty Chemicals
Odyssey Corporation Ltd,ODYCORP,Conglomerates
Odyssey Technologies Ltd,ODYSSEY,Software Services
Alliance Integrated Metaliks Ltd,AIML,Building Products - Prefab Structures
Universal Autofoundry Ltd,UNIAUTO,Auto Parts
E-Land Apparel Ltd,ELAND,Apparel & Accessories
Cambridge Technology Enterprises Ltd,CTE,IT Services & Consulting
SBI Silver ETF,SBISILVER,Silver
Hiliks Technologies Ltd,HILIKS,IT Services & Consulting
Nexxus Petro Industries Ltd,NEXXUS,Commodity Chemicals
Oceanic Foods Ltd,OCEANIC,Agro Products
Agro Phos (India) Ltd,AGROPHOS,Fertilizers & Agro Chemicals
Shree Rajasthan Syntex Ltd,SHRAJSYNQ,Textiles
Brace Port Logistics Ltd,BRACEPORT,Logistics
Trescon Ltd,TRESCON,Real Estate
Supreme Facility Management Ltd,SFML,Business Support Services
Ceejay Finance Ltd,CEEJAY,Consumer Finance
Moving Media Entertainment Ltd,MMEL,Business Support Services
Saj Hotels Ltd,SAJHOTELS,"Hotels, Resorts & Cruise Lines"
Banas Finance Ltd,BANASFN,Specialized Finance
Gowra Leasing and Finance Ltd,GOWRALE,Consumer Finance
Gayatri Sugars Ltd,GAYATRI,Sugar
Elixir Capital Ltd,ELIXIR,Diversified Financials
Yuvraaj Hygiene Products Ltd,YUVRAAJHPL,FMCG - Household Products
Sunsky Logistics Ltd,SUNSKY,Logistics
Kothari Fermentation and Biochem Ltd,KFBL,Agro Products
Apollo Ingredients Ltd,APOLLOIN,Hospitals & Diagnostic Centres
Shreeji Translogistics Ltd,STL,Logistics
Riba Textiles Ltd,RIBATEX,Textiles
KSR Footwear Ltd,KSR,Footwear
BAMPSL Securities Ltd,BAMPSL,Diversified Financials
Hilltone Software and Gases Ltd,HILLTONE,Industrial Machinery
Naman Industries Proxima Ltd,NAMAN,Business Support Services
Asston Pharmaceuticals Ltd,APL,Pharmaceuticals
Khaitan (India) Ltd,KHAITANLTD,Sugar
Osia Hyper Retail Ltd,OSIAHYPER,Retail - Department Stores
Axis NIFTY IT ETF,AXISTECETF,Equity
Royale Manor Hotels and Industries Ltd,RAYALEMA,"Hotels, Resorts & Cruise Lines"
Kreon Finnancial Services Ltd,KREONFIN,Consumer Finance
Gujarat Cotex Ltd,GUJCOTEX,Textiles
Orient Press Ltd,ORIENTLTD,Packaging
Bajaj Finserv Nifty 50 ETF,NIFTYBETF,Equity
Classic Leasing & Finance Ltd,CLFL,Diversified Financials
Lakhotia Polyesters (India) Ltd,LAKHOTIA,Textiles
Hariyana Ship Breakers Ltd,HRYNSHP,Commodities Trading
Blue Coast Hotels Ltd,BLUECOAST,"Hotels, Resorts & Cruise Lines"
Trident Texofab Ltd,TTFL,Textiles
Ashnoor Textile Mills Ltd,ASHNOOR,Textiles
ANI Integrated Services Ltd,AISL,Construction & Engineering
Jigar Cables Ltd,JIGAR,Cables
Dhanalaxmi Roto Spinners Ltd,DHANROTO,Textiles
Autofurnish Ltd,AFLTD,
Sharika Enterprises Ltd,SHARIKA,Construction & Engineering
Luxury Time Ltd,LUXURY,"Precious Metals, Jewellery & Watches"
Jupiter Infomedia Ltd,JUPITERIN,Publishing
Mirae Asset Nifty 1D Rate Liquid ETF - IDCW,LIQUID,Debt
GACM Technologies Ltd,GATECH,Stock Exchanges & Ratings
Tirupati Innovar Ltd,TIRUPATIIN,Tires & Rubber
AJC Jewel Manufacturers Ltd,AJCJEWEL,"Precious Metals, Jewellery & Watches"
Mega Corp Ltd,MEGACOR,Diversified Financials
Garg Furnace Ltd,GARGFUR,Iron & Steel
We Win Ltd,WEWIN,Outsourced services
Chiraharit Ltd,CHIRAHARIT,Construction & Engineering
Unique Organics Ltd,UNIQUEO,Packaged Foods & Meats
Kesar Enterprises Ltd,KESARENT,Sugar
Punjab Communications Ltd,PUNJCOMMU,Telecom Equipments
Spright Agro Ltd,SPRIGHT,Agro Products
Star Housing Finance Ltd,STARHFL,Consumer Finance
Palco Metals Ltd,PALCO,Metals - Diversified
Baweja Studios Ltd,BAWEJA,Movies & TV Serials
Aeonx Digital Technology Ltd,AEONXDIGI,IT Services & Consulting
Cranex Ltd,CRANEX,Industrial Machinery
Ansal Properties and Infrastructure Ltd,ANSALAPI,Real Estate
Royal Cushion Vinyl Products Ltd,ROYALCU,Building Products - Glass
Balkrishna Paper Mills Ltd,BALKRISHNA,Paper Products
Vruddhi Engineering Works Ltd,VRUDDHI,Construction & Engineering
Real Touch Finance Ltd,RTFL,Diversified Financials
Palred Technologies Ltd,PALREDTEC,IT Services & Consulting
BDR Buildcon Ltd,BDR,Real Estate
Regis Industries Ltd,REGIS,Business Support Services
